Model,Year,Mileage,Unit Milage,Engine Type,Transmission,Fuel,Offers Price,Unit Currency,Engine Power, Unit_BHP
MERCEDES-BENZ E 450 Cabriolet AMG Line 4 Matic 9G-Tronic,11.2019,62000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,49900, CHF,367, BHP
MERCEDES-BENZ E 63 AMG S 4Matic Speedshift MCT,10.2016,87500, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,74800, CHF,612, BHP
MERCEDES-BENZ E 43 AMG 4 Matic 9G-Tronic,09.2017,100700, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,40900, CHF,401, BHP
MERCEDES-BENZ E 43 AMG 4 Matic,04.2017,91300, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,44300, CHF,401, BHP
MERCEDES-BENZ E 250 CDI Avantgarde 4Matic 7G-Tronic,02.2014,152500, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,18500, CHF,204, BHP
MERCEDES-BENZ E 320 CDI Avantgarde 7G-Tronic,12.2007,397000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,8799, CHF,224, BHP
MERCEDES-BENZ E 220 d AMG Line 9G-Tronic,05.2018,86000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,37500, CHF,194, BHP
MERCEDES-BENZ E 450 Cabriolet AMG Line 4 Matic 9G-Tronic,07.2020,11500, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,72000, CHF,367, BHP
MERCEDES-BENZ E 250 7G-Tronic,08.2013,144000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,19499, CHF,211, BHP
MERCEDES-BENZ E 53 Coupé AMG 4 Matic+ 9G-Tronic,10.2019,36000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,67000, CHF,435, BHP
MERCEDES-BENZ E 200 AMG Line Cabriolet,04.2018,99900, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,37890, CHF,184, BHP
MERCEDES-BENZ E 220 d Swiss Star Avantgarde 4matic *CH-FAHRZEUG*,12.2019,80000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,38900, CHF,194, BHP
MERCEDES-BENZ E 220 d T 4Matic AMG Line 9G-Tronic,10.2023,50, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,86200, CHF,200, BHP
MERCEDES-BENZ E 220 d T 4Matic AMG Line 9G-Tronic,10.2023,50, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,89500, CHF,200, BHP
MERCEDES-BENZ E 63 AMG S 4 Matic 9G-Tronic,02.2019,18600, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,85290, CHF,612, BHP
MERCEDES-BENZ E 250 BlueTEC Avantgarde 4Matic 7G-Tronic,08.2015,110000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,26900, CHF,204, BHP
MERCEDES-BENZ E 350 Elégance 4Matic 7G-Tronic,01.2011,202900, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,13900, CHF,272, BHP
MERCEDES-BENZ E 63 AMG S 4 Matic,11.2017,114550, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,61900, CHF,612, BHP
MERCEDES-BENZ E 220 d AMG Line 4matic *CH-FAHRZEUG*,04.2019,76800, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,44900, CHF,194, BHP
MERCEDES-BENZ E 250 BlueTEC Avantgarde 4Matic 7G-Tronic,05.2015,131800, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,23899, CHF,204, BHP
MERCEDES-BENZ E 350 Coupé AMG Line 9G-Tronic,09.2018,86900, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,46200, CHF,299, BHP
MERCEDES-BENZ E 63 AMG Speedshift MCT,08.2009,179000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,26900, CHF,525, BHP
MERCEDES-BENZ E 63 AMG S 4Matic Speedshift,07.2013,106000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,52900, CHF,585, BHP
MERCEDES-BENZ E 200 Avantgarde 9G-Tronic,08.2019,34136, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,32000, CHF,184, BHP
MERCEDES-BENZ E 43 AMG 4Matic 9G-Tronic,04.2018,95300, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,54500, CHF,401, BHP
MERCEDES-BENZ E 220 d Swiss Star AMG Line 4Matic 9G-Tronic,09.2018,73000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,38750, CHF,194, BHP
MERCEDES-BENZ E 53 AMG 4Matic 9G-Tronic,09.2018,66000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,64900, CHF,435, BHP
MERCEDES-BENZ E 63 AMG S 4 Matic 9G-Tronic,09.2017,124300, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,62900, CHF,612, BHP
MERCEDES-BENZ E 220 CDI BlueEfficiency Automatic,12.2011,142100, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,15000, CHF,170, BHP
MERCEDES-BENZ E 63 AMG S 4Matic Speedshift,10.2013,100000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,44000, CHF,585, BHP
MERCEDES-BENZ E 63 S AMG 4Matic+,01.2019,73000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,86600, CHF,612, BHP
MERCEDES-BENZ E 53 AMG 4Matic+ Speedshift MCT,11.2018,40300, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,69880, CHF,435, BHP
MERCEDES-BENZ E 220 d 4Matic,10.2023,15, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,96900, CHF,197, BHP
MERCEDES-BENZ E 220 d AMG Line 4Matic Kombi,04.2021,52000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,55600, CHF,194, BHP
MERCEDES-BENZ E 300 d Coupé AMG Line 9G-Tronic,07.2020,32937, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,51900, CHF,245, BHP
MERCEDES-BENZ E 400 e AMG Line 4Matic,10.2023,20, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,100200, CHF,381, BHP
MERCEDES-BENZ E 220 d AMG Line 4Matic,10.2023,20, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,92000, CHF,220, BHP
MERCEDES-BENZ E 400 e AMG Line 4Matic,10.2023,20, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,100000, CHF,381, BHP
MERCEDES-BENZ E 53 AMG 4Matic + Coupé,10.2023,88, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,117600, CHF,435, BHP
MERCEDES-BENZ E 400 e AMG Line 4Matic,10.2023,1, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,100000, CHF,381, BHP
MERCEDES-BENZ E 350 Coupé AMG Line 9G-Tronic,09.2018,86900, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,46200, CHF,299, BHP
MERCEDES-BENZ E 63 AMG Speedshift MCT,08.2009,179000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,26900, CHF,525, BHP
MERCEDES-BENZ E 63 AMG S 4Matic Speedshift,07.2013,106000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,52900, CHF,585, BHP
MERCEDES-BENZ E 200 Avantgarde 9G-Tronic,08.2019,34136, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,32000, CHF,184, BHP
MERCEDES-BENZ E 43 AMG 4Matic 9G-Tronic,04.2018,95300, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,54500, CHF,401, BHP
MERCEDES-BENZ E 220 d Swiss Star AMG Line 4Matic 9G-Tronic,09.2018,73000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,38750, CHF,194, BHP
MERCEDES-BENZ E 53 AMG 4Matic 9G-Tronic,09.2018,66000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,64900, CHF,435, BHP
MERCEDES-BENZ E 63 AMG S 4 Matic 9G-Tronic,09.2017,124300, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,62900, CHF,612, BHP
MERCEDES-BENZ E 220 CDI BlueEfficiency Automatic,12.2011,142100, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,15000, CHF,170, BHP
MERCEDES-BENZ E 63 AMG S 4Matic Speedshift,10.2013,100000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,44000, CHF,585, BHP
MERCEDES-BENZ E 63 S AMG 4Matic+,01.2019,73000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,86600, CHF,612, BHP
MERCEDES-BENZ E 53 AMG 4Matic+ Speedshift MCT,11.2018,40300, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,69880, CHF,435, BHP
MERCEDES-BENZ E 220 d 4Matic,10.2023,15, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,96900, CHF,197, BHP
MERCEDES-BENZ E 220 d AMG Line 4Matic Kombi,04.2021,52000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,55600, CHF,194, BHP
MERCEDES-BENZ E 300 d Coupé AMG Line 9G-Tronic,07.2020,32937, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,51900, CHF,245, BHP
MERCEDES-BENZ E 400 e AMG Line 4Matic,10.2023,20, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,100200, CHF,381, BHP
MERCEDES-BENZ E 220 d AMG Line 4Matic,10.2023,20, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,92000, CHF,220, BHP
MERCEDES-BENZ E 400 e AMG Line 4Matic,10.2023,20, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,100000, CHF,381, BHP
MERCEDES-BENZ E 53 AMG 4Matic + Coupé,10.2023,88, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,117600, CHF,435, BHP
MERCEDES-BENZ E 400 e AMG Line 4Matic,10.2023,1, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,100000, CHF,381, BHP
MERCEDES-BENZ E 200 Avantgarde 7G-Tronic,05.2014,74700, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,20900, CHF,184, BHP
MERCEDES-BENZ E 250 CGI BlueEfficiency Avantgarde Automatic,09.2010,79000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,15900, CHF,204, BHP
MERCEDES-BENZ E 200 Coupé AMG Line 9G-Tronic,10.2017,73000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,39990, CHF,184, BHP
MERCEDES-BENZ E 250 CDI BlueEfficiency Avantgarde Automatic,07.2010,223400, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,6900, CHF,204, BHP
MERCEDES-BENZ E 43 AMG 4 Matic 9G-Tronic,11.2017,48350, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,49400, CHF,401, BHP
MERCEDES-BENZ E 250 CGI BlueEfficiency 7G-Tronic,04.2013,102000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,21900, CHF,204, BHP
MERCEDES-BENZ E 63 AMG S 4Matic Speedshift MCT,04.2018,107500, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,72900, CHF,612, BHP
MERCEDES-BENZ E 320 Elégance 4-Matic Automatic,10.1997,226000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,2900, CHF,224, BHP
MERCEDES-BENZ E 320 Classic Automatic,06.2002,128000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,7900, CHF,224, BHP
MERCEDES-BENZ E 63 AMG S 4Matic Speedshift MCT,07.2017,150000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,67000, CHF,612, BHP
MERCEDES-BENZ E 53 AMG 4Matic,07.2020,28900, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,69255, CHF,435, BHP
MERCEDES-BENZ E 320 Elégance Automatic,08.2002,170000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,4300, CHF,224, BHP
MERCEDES-BENZ E 400 e 4Matic 9G-Tronic,10.2023,50, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,111000, CHF,381, BHP
MERCEDES-BENZ E 450 AMG Line 4Matic Cabrio,03.2021,21000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,79600, CHF,367, BHP
MERCEDES-BENZ E 400 e 4Matic 9G-Tronic,10.2023,25, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,102500, CHF,381, BHP
